(88729, 18137)
(88729, 6601)
(88730, 18136)
(92279, 9371)
(92280, 9372)
(92281, 9373)
(92281, 9590)
(92282, 9374)
(92282, 16788)
(92282, 9589)
(93738, 16285)
(93739, 14386)
(93739, 16286)
(93739, 17671)
(93740, 14387)
(98212, 5519)
(98212, 1992)
(102091, 9915)
(102091, 13825)
(102092, 9916)
(102092, 13824)
(102092, 13392)
(102093, 9917)
(106100, 8526)
(110715, 10164)
(110716, 6624)
(110716, 14046)
(110716, 10163)
(110717, 14045)
(111661, 13552)
(111662, 13553)
(111662, 16407)
(111662, 16976)
(116355, 6210)
(116356, 6209)
(116357, 6208)
(116875, 5488)
(120081, 10341)
(120081, 3725)
(120081, 2548)
(120082, 10342)
(120082, 3724)
(120083, 3723)
(120993, 2918)
(120993, 10020)
(120993, 4610)
(120994, 2919)
(122824, 18353)
(122825, 6939)
(122825, 17268)
(122825, 18354)
(122826, 17269)
(126298, 12034)
(126299, 12035)
(126299, 18974)
(126299, 8909)
(126300, 12036)
(126300, 18973)
(129342, 20525)
(129343, 20526)
(129344, 20527)
(129344, 18267)
(129344, 13635)
(132147, 17811)
(132147, 8035)
(132147, 5085)
(132148, 5084)
(133634, 15804)
(135238, 11897)
(135238, 18078)
(136910, 9911)
(136911, 9912)
(136912, 9913)
(136913, 9914)
(136914, 9915)
(136914, 13825)
(136915, 9916)
(136915, 13824)
(136915, 13392)
(140103, 9821)
(140104, 9822)
(140104, 17903)
(140105, 9823)
(140105, 17904)
(140106, 9824)
(140106, 17905)
(140936, 5519)
(140936, 1992)
(140937, 5518)
(147066, 7063)
(147067, 7062)
(147068, 20350)
(147068, 7061)
(147069, 20349)
(147069, 7060)
(147904, 18627)
(147904, 18792)
(147953, 8362)
(153485, 13551)
(153486, 13552)
(153487, 13553)
(153487, 16407)
(153487, 16976)
(154109, 20526)
(154110, 20527)
(154110, 18267)
(154110, 13635)
(156200, 10024)
(156201, 10023)
(156202, 10022)
(156202, 4612)
(156203, 2917)
(156203, 10021)
(156203, 4611)
(156204, 2918)
(156204, 10020)
(156204, 4610)
(156205, 2919)
(159396, 4025)
(159396, 4250)
(160071, 6938)
(160071, 17267)
(160072, 6939)
(160072, 17268)
(160072, 18354)
(160073, 17269)
(173108, 9940)
(173109, 9939)
(173110, 9938)
(173545, 10483)
(173546, 10482)
(173547, 14634)
(173547, 10481)
(173548, 10480)
(173709, 14340)
(173710, 14339)
(173710, 2389)
(173711, 14338)
(173711, 2388)
(177276, 2696)
(177276, 7747)
(177276, 15594)
(177455, 20632)
(177455, 14899)
(177455, 630)
(183791, 18477)
(183792, 18478)
(183793, 18479)
(183793, 11930)
(183794, 18480)
(184434, 4296)
(184434, 21052)
(184435, 4297)
(185511, 7746)
(185511, 15595)
(185512, 2696)
(185512, 7747)
(185512, 15594)
(185513, 7748)
(185513, 15593)
(189353, 14634)
(189353, 10481)
(190942, 7507)
(190942, 18137)
(190942, 6601)
(190943, 18136)
(195012, 10601)
(195012, 1056)
(195013, 1055)
(196149, 20350)
(196149, 7061)
(198188, 11895)
(198189, 11896)
(198190, 11897)
(198190, 18078)
(198435, 5519)
(198435, 1992)
(199446, 4787)
(199447, 8938)
(199447, 4786)
(199534, 2964)
(199535, 2963)
(200877, 11216)
(200877, 8422)
(200878, 16245)
(200878, 11215)
(200878, 8421)
(201195, 20632)
(201195, 14899)
(201195, 630)
